timestamp,time_s,heart_rate_bpm
2025-11-19 09:51:23,1167.0,168.0
2025-11-19 09:51:26,1170.0,171.0
2025-11-19 09:51:27,1171.0,171.0
2025-11-19 09:51:31,1175.0,174.0
2025-11-19 09:51:35,1179.0,177.0
2025-11-19 09:51:42,1186.0,177.0
2025-11-19 09:51:43,1187.0,177.0
2025-11-19 09:51:49,1193.0,179.0
2025-11-19 09:51:55,1199.0,176.0
2025-11-19 09:51:56,1200.0,177.0
2025-11-19 09:51:57,1201.0,178.0
2025-11-19 09:52:00,1204.0,179.0
2025-11-19 09:52:04,1208.0,182.0
2025-11-19 09:52:08,1212.0,184.0
2025-11-19 09:52:14,1218.0,183.0
2025-11-19 09:52:17,1221.0,180.0
2025-11-19 09:52:20,1224.0,182.0
2025-11-19 09:52:26,1230.0,182.0
2025-11-19 09:52:28,1232.0,181.0
2025-11-19 09:52:33,1237.0,182.0
2025-11-19 09:52:34,1238.0,182.0
2025-11-19 09:52:37,1241.0,179.0
2025-11-19 09:52:38,1242.0,182.0
2025-11-19 09:52:39,1243.0,182.0
2025-11-19 09:52:45,1249.0,180.0
2025-11-19 09:52:52,1256.0,179.0
2025-11-19 09:52:53,1257.0,179.0
2025-11-19 09:53:00,1264.0,179.0
2025-11-19 09:53:06,1270.0,179.0
2025-11-19 09:53:12,1276.0,179.0
2025-11-19 09:53:17,1281.0,179.0
2025-11-19 09:53:18,1282.0,179.0
2025-11-19 09:53:20,1284.0,177.0
2025-11-19 09:53:23,1287.0,178.0
2025-11-19 09:53:25,1289.0,177.0
2025-11-19 09:53:28,1292.0,176.0
2025-11-19 09:53:30,1294.0,176.0
2025-11-19 09:53:36,1300.0,174.0
2025-11-19 09:53:43,1307.0,174.0
2025-11-19 09:53:45,1309.0,175.0
2025-11-19 09:53:50,1314.0,177.0
2025-11-19 09:53:52,1316.0,174.0
2025-11-19 09:53:54,1318.0,175.0
2025-11-19 09:53:58,1322.0,174.0
2025-11-19 09:54:05,1329.0,174.0
2025-11-19 09:54:06,1330.0,174.0
2025-11-19 09:54:12,1336.0,176.0
2025-11-19 09:54:15,1339.0,178.0
2025-11-19 09:54:20,1344.0,180.0
2025-11-19 09:54:21,1345.0,180.0
2025-11-19 09:54:25,1349.0,182.0
2025-11-19 09:54:31,1355.0,179.0
2025-11-19 09:54:33,1357.0,178.0
2025-11-19 09:54:35,1359.0,177.0
2025-11-19 09:54:39,1363.0,174.0
2025-11-19 09:54:41,1365.0,173.0
2025-11-19 09:54:47,1371.0,174.0
2025-11-19 09:54:54,1378.0,172.0
2025-11-19 09:54:55,1379.0,172.0
2025-11-19 09:55:01,1385.0,172.0
2025-11-19 09:55:04,1388.0,170.0
2025-11-19 09:55:08,1392.0,168.0
2025-11-19 09:55:10,1394.0,168.0
2025-11-19 09:55:16,1400.0,167.0
2025-11-19 09:55:22,1406.0,167.0
2025-11-19 09:55:24,1408.0,169.0
2025-11-19 09:55:29,1413.0,167.0
2025-11-19 09:55:32,1416.0,171.0
2025-11-19 09:55:39,1423.0,173.0
2025-11-19 09:55:41,1425.0,174.0
2025-11-19 09:55:48,1432.0,175.0
2025-11-19 09:55:54,1438.0,177.0
2025-11-19 09:56:01,1445.0,177.0
2025-11-19 09:56:02,1446.0,177.0
2025-11-19 09:56:09,1453.0,177.0
2025-11-19 09:56:13,1457.0,174.0
2025-11-19 09:56:17,1461.0,176.0
2025-11-19 09:56:22,1466.0,177.0
2025-11-19 09:56:25,1469.0,177.0
2025-11-19 09:56:27,1471.0,174.0
2025-11-19 09:56:28,1472.0,177.0
2025-11-19 09:56:30,1474.0,177.0
2025-11-19 09:56:32,1476.0,177.0
2025-11-19 09:56:36,1480.0,181.0
2025-11-19 09:56:38,1482.0,178.0
2025-11-19 09:56:39,1483.0,178.0
2025-11-19 09:56:46,1490.0,179.0
2025-11-19 09:56:51,1495.0,179.0
2025-11-19 09:56:53,1497.0,179.0
2025-11-19 09:56:54,1498.0,177.0
2025-11-19 09:56:55,1499.0,179.0
2025-11-19 09:56:56,1500.0,177.0
2025-11-19 09:56:59,1503.0,178.0
2025-11-19 09:57:00,1504.0,178.0
2025-11-19 09:57:04,1508.0,178.0
2025-11-19 09:57:06,1510.0,178.0
2025-11-19 09:57:10,1514.0,178.0
2025-11-19 09:57:11,1515.0,178.0
2025-11-19 09:57:13,1517.0,175.0
2025-11-19 09:57:16,1520.0,176.0
2025-11-19 09:57:18,1522.0,177.0
2025-11-19 09:57:21,1525.0,176.0
2025-11-19 09:57:24,1528.0,176.0
2025-11-19 09:57:30,1534.0,177.0
2025-11-19 09:57:31,1535.0,177.0
2025-11-19 09:57:38,1542.0,178.0
2025-11-19 09:57:39,1543.0,178.0
2025-11-19 09:57:45,1549.0,178.0
2025-11-19 09:57:48,1552.0,178.0
2025-11-19 09:57:49,1553.0,177.0
2025-11-19 09:57:55,1559.0,179.0
2025-11-19 09:58:01,1565.0,178.0
2025-11-19 09:58:03,1567.0,176.0
2025-11-19 09:58:07,1571.0,176.0
2025-11-19 09:58:08,1572.0,176.0
2025-11-19 09:58:13,1577.0,175.0
2025-11-19 09:58:19,1583.0,175.0
2025-11-19 09:58:26,1590.0,175.0
2025-11-19 09:58:27,1591.0,175.0
2025-11-19 09:58:29,1593.0,175.0
2025-11-19 09:58:33,1597.0,177.0
2025-11-19 09:58:39,1603.0,175.0
2025-11-19 09:58:40,1604.0,176.0
2025-11-19 09:58:46,1610.0,174.0
2025-11-19 09:58:49,1613.0,176.0
2025-11-19 09:58:54,1618.0,174.0
2025-11-19 09:58:57,1621.0,177.0
2025-11-19 09:59:03,1627.0,177.0
2025-11-19 09:59:05,1629.0,177.0
2025-11-19 09:59:12,1636.0,177.0
2025-11-19 09:59:13,1637.0,179.0
2025-11-19 09:59:19,1643.0,178.0
2025-11-19 09:59:20,1644.0,178.0
2025-11-19 09:59:25,1649.0,178.0
2025-11-19 09:59:26,1650.0,177.0
2025-11-19 09:59:30,1654.0,176.0
2025-11-19 09:59:31,1655.0,178.0
2025-11-19 09:59:34,1658.0,178.0
2025-11-19 09:59:36,1660.0,178.0
2025-11-19 09:59:42,1666.0,178.0
2025-11-19 09:59:48,1672.0,177.0
2025-11-19 09:59:51,1675.0,178.0
2025-11-19 09:59:52,1676.0,180.0
2025-11-19 09:59:54,1678.0,177.0
2025-11-19 09:59:55,1679.0,178.0
2025-11-19 10:00:01,1685.0,179.0
2025-11-19 10:00:02,1686.0,179.0
2025-11-19 10:00:04,1688.0,180.0
2025-11-19 10:00:07,1691.0,179.0
2025-11-19 10:00:11,1695.0,178.0
2025-11-19 10:00:16,1700.0,175.0
2025-11-19 10:00:18,1702.0,177.0
2025-11-19 10:00:23,1707.0,177.0
2025-11-19 10:00:28,1712.0,177.0
2025-11-19 10:00:30,1714.0,177.0
2025-11-19 10:00:34,1718.0,178.0
2025-11-19 10:00:41,1725.0,178.0
2025-11-19 10:00:42,1726.0,178.0
2025-11-19 10:00:46,1730.0,176.0
2025-11-19 10:00:47,1731.0,179.0
2025-11-19 10:00:50,1734.0,179.0
2025-11-19 10:00:55,1739.0,176.0
2025-11-19 10:00:57,1741.0,178.0
2025-11-19 10:01:00,1744.0,175.0
2025-11-19 10:01:06,1750.0,176.0
2025-11-19 10:01:13,1757.0,177.0
2025-11-19 10:01:19,1763.0,177.0
2025-11-19 10:01:24,1768.0,177.0
2025-11-19 10:01:29,1773.0,176.0
2025-11-19 10:01:35,1779.0,175.0
2025-11-19 10:01:41,1785.0,177.0
2025-11-19 10:01:42,1786.0,174.0
2025-11-19 10:01:48,1792.0,174.0
2025-11-19 10:01:53,1797.0,174.0
2025-11-19 10:01:55,1799.0,174.0
2025-11-19 10:02:03,1807.0,175.0
2025-11-19 10:02:09,1813.0,176.0
2025-11-19 10:02:10,1814.0,175.0
2025-11-19 10:02:11,1815.0,176.0
2025-11-19 10:02:14,1818.0,174.0
2025-11-19 10:02:20,1824.0,174.0
2025-11-19 10:02:27,1831.0,177.0
2025-11-19 10:02:29,1833.0,175.0
2025-11-19 10:02:34,1838.0,176.0
2025-11-19 10:02:40,1844.0,175.0
2025-11-19 10:02:41,1845.0,175.0
2025-11-19 10:02:48,1852.0,177.0
2025-11-19 10:02:51,1855.0,177.0
2025-11-19 10:02:57,1861.0,178.0
2025-11-19 10:03:03,1867.0,180.0
2025-11-19 10:03:08,1872.0,182.0
2025-11-19 10:03:09,1873.0,182.0
2025-11-19 10:03:17,1881.0,183.0
2025-11-19 10:03:23,1887.0,181.0
2025-11-19 10:03:29,1893.0,180.0
2025-11-19 10:03:35,1899.0,180.0
2025-11-19 10:03:36,1900.0,179.0
2025-11-19 10:03:42,1906.0,177.0
2025-11-19 10:03:45,1909.0,177.0
2025-11-19 10:03:51,1915.0,177.0
2025-11-19 10:03:52,1916.0,177.0
2025-11-19 10:03:59,1923.0,180.0
2025-11-19 10:04:00,1924.0,180.0
2025-11-19 10:04:01,1925.0,181.0
2025-11-19 10:04:07,1931.0,184.0
2025-11-19 10:04:11,1935.0,186.0
2025-11-19 10:04:13,1937.0,187.0
2025-11-19 10:04:15,1939.0,190.0
2025-11-19 10:04:19,1943.0,189.0
2025-11-19 10:04:26,1950.0,190.0
2025-11-19 10:04:29,1953.0,190.0
2025-11-19 10:04:31,1955.0,190.0
2025-11-19 10:04:32,1956.0,189.0
2025-11-19 10:04:35,1959.0,187.0
2025-11-19 10:04:38,1962.0,186.0
2025-11-19 10:04:39,1963.0,183.0
2025-11-19 10:04:43,1967.0,185.0
2025-11-19 10:04:47,1971.0,184.0
2025-11-19 10:04:48,1972.0,184.0
2025-11-19 10:04:53,1977.0,183.0
2025-11-19 10:04:55,1979.0,186.0
2025-11-19 10:04:56,1980.0,183.0
2025-11-19 10:04:59,1983.0,182.0
2025-11-19 10:05:05,1989.0,179.0
2025-11-19 10:05:06,1990.0,179.0
2025-11-19 10:05:11,1995.0,177.0
2025-11-19 10:05:19,2003.0,175.0
2025-11-19 10:05:23,2007.0,172.0
2025-11-19 10:05:24,2008.0,170.0
2025-11-19 10:05:27,2011.0,168.0
2025-11-19 10:05:30,2014.0,167.0
2025-11-19 10:05:35,2019.0,166.0
2025-11-19 10:05:37,2021.0,166.0
2025-11-19 10:05:45,2029.0,164.0
2025-11-19 10:05:50,2034.0,161.0
2025-11-19 10:05:52,2036.0,162.0
2025-11-19 10:05:55,2039.0,162.0
2025-11-19 10:05:56,2040.0,163.0
2025-11-19 10:05:58,2042.0,163.0
2025-11-19 10:06:00,2044.0,164.0
2025-11-19 10:06:01,2045.0,164.0
2025-11-19 10:06:02,2046.0,166.0
2025-11-19 10:06:05,2049.0,165.0
2025-11-19 10:06:09,2053.0,162.0
2025-11-19 10:06:11,2055.0,166.0
2025-11-19 10:06:17,2061.0,167.0
2025-11-19 10:06:19,2063.0,167.0
2025-11-19 10:06:22,2066.0,164.0
2025-11-19 10:06:25,2069.0,161.0
2025-11-19 10:06:30,2074.0,164.0
2025-11-19 10:06:33,2077.0,167.0
2025-11-19 10:06:35,2079.0,167.0
2025-11-19 10:06:40,2084.0,167.0
2025-11-19 10:06:41,2085.0,167.0
2025-11-19 10:06:45,2089.0,164.0
2025-11-19 10:06:51,2095.0,165.0
2025-11-19 10:06:57,2101.0,165.0
2025-11-19 10:06:58,2102.0,165.0
2025-11-19 10:07:05,2109.0,165.0
2025-11-19 10:07:12,2116.0,163.0
2025-11-19 10:07:13,2117.0,163.0
2025-11-19 10:07:18,2122.0,165.0
2025-11-19 10:07:23,2127.0,167.0
2025-11-19 10:07:30,2134.0,165.0
2025-11-19 10:07:38,2142.0,166.0
2025-11-19 10:07:45,2149.0,161.0
2025-11-19 10:07:46,2150.0,167.0
2025-11-19 10:07:48,2152.0,167.0
2025-11-19 10:07:49,2153.0,169.0
2025-11-19 10:07:55,2159.0,171.0
2025-11-19 10:08:00,2164.0,171.0
2025-11-19 10:08:05,2169.0,172.0
2025-11-19 10:08:07,2171.0,168.0
2025-11-19 10:08:09,2173.0,173.0
2025-11-19 10:08:10,2174.0,173.0
2025-11-19 10:08:15,2179.0,171.0
2025-11-19 10:08:20,2184.0,173.0
2025-11-19 10:08:24,2188.0,173.0
2025-11-19 10:08:27,2191.0,176.0
2025-11-19 10:08:28,2192.0,175.0
2025-11-19 10:08:31,2195.0,176.0
2025-11-19 10:08:32,2196.0,172.0
2025-11-19 10:08:36,2200.0,171.0
2025-11-19 10:08:42,2206.0,171.0
2025-11-19 10:08:48,2212.0,170.0
2025-11-19 10:08:49,2213.0,169.0
2025-11-19 10:08:54,2218.0,168.0
2025-11-19 10:09:00,2224.0,168.0
2025-11-19 10:09:04,2228.0,167.0
2025-11-19 10:09:07,2231.0,167.0
2025-11-19 10:09:10,2234.0,168.0
2025-11-19 10:09:13,2237.0,168.0
2025-11-19 10:09:14,2238.0,168.0
2025-11-19 10:09:15,2239.0,168.0
2025-11-19 10:09:17,2241.0,169.0
2025-11-19 10:09:22,2246.0,171.0
2025-11-19 10:09:26,2250.0,174.0
2025-11-19 10:09:30,2254.0,177.0
2025-11-19 10:09:32,2256.0,177.0
2025-11-19 10:09:38,2262.0,179.0
2025-11-19 10:09:39,2263.0,179.0
2025-11-19 10:09:45,2269.0,180.0
2025-11-19 10:09:47,2271.0,181.0
2025-11-19 10:09:52,2276.0,182.0
2025-11-19 10:09:53,2277.0,182.0
2025-11-19 10:09:59,2283.0,183.0
2025-11-19 10:10:00,2284.0,182.0
2025-11-19 10:10:08,2292.0,183.0
2025-11-19 10:10:09,2293.0,181.0
2025-11-19 10:10:14,2298.0,178.0
2025-11-19 10:10:15,2299.0,181.0
2025-11-19 10:10:16,2300.0,180.0
2025-11-19 10:10:22,2306.0,179.0
2025-11-19 10:10:26,2310.0,176.0
2025-11-19 10:10:27,2311.0,178.0
2025-11-19 10:10:29,2313.0,175.0
2025-11-19 10:10:34,2318.0,172.0
2025-11-19 10:10:35,2319.0,172.0
2025-11-19 10:10:38,2322.0,169.0
2025-11-19 10:10:42,2326.0,168.0
2025-11-19 10:10:48,2332.0,168.0
2025-11-19 10:10:50,2334.0,168.0
2025-11-19 10:10:56,2340.0,171.0
2025-11-19 10:11:03,2347.0,170.0
2025-11-19 10:11:04,2348.0,169.0
2025-11-19 10:11:10,2354.0,169.0
2025-11-19 10:11:17,2361.0,172.0
2025-11-19 10:11:18,2362.0,172.0
2025-11-19 10:11:24,2368.0,173.0
2025-11-19 10:11:26,2370.0,173.0
2025-11-19 10:11:32,2376.0,176.0
2025-11-19 10:11:33,2377.0,176.0
2025-11-19 10:11:40,2384.0,174.0
2025-11-19 10:11:45,2389.0,174.0
2025-11-19 10:11:50,2394.0,174.0
2025-11-19 10:11:56,2400.0,173.0
2025-11-19 10:12:03,2407.0,173.0
2025-11-19 10:12:07,2411.0,176.0
2025-11-19 10:12:11,2415.0,177.0
2025-11-19 10:12:16,2420.0,173.0
2025-11-19 10:12:18,2422.0,174.0
2025-11-19 10:12:20,2424.0,174.0
2025-11-19 10:12:26,2430.0,174.0
2025-11-19 10:12:33,2437.0,173.0
2025-11-19 10:12:35,2439.0,174.0
2025-11-19 10:12:42,2446.0,173.0
2025-11-19 10:12:44,2448.0,173.0
2025-11-19 10:12:52,2456.0,174.0
2025-11-19 10:12:58,2462.0,177.0
2025-11-19 10:13:00,2464.0,177.0
2025-11-19 10:13:03,2467.0,179.0
2025-11-19 10:13:07,2471.0,179.0
2025-11-19 10:13:12,2476.0,178.0
2025-11-19 10:13:14,2478.0,178.0
2025-11-19 10:13:17,2481.0,178.0
2025-11-19 10:13:21,2485.0,178.0
2025-11-19 10:13:27,2491.0,178.0
2025-11-19 10:13:33,2497.0,179.0
2025-11-19 10:13:34,2498.0,177.0
2025-11-19 10:13:38,2502.0,181.0
2025-11-19 10:13:39,2503.0,178.0
2025-11-19 10:13:41,2505.0,178.0
2025-11-19 10:13:46,2510.0,175.0
2025-11-19 10:13:49,2513.0,173.0
2025-11-19 10:13:50,2514.0,175.0
2025-11-19 10:13:55,2519.0,177.0
2025-11-19 10:14:00,2524.0,181.0
2025-11-19 10:14:01,2525.0,179.0
2025-11-19 10:14:07,2531.0,180.0
2025-11-19 10:14:12,2536.0,183.0
2025-11-19 10:14:14,2538.0,183.0
2025-11-19 10:14:20,2544.0,182.0
2025-11-19 10:14:23,2547.0,183.0
2025-11-19 10:14:25,2549.0,183.0
2025-11-19 10:14:31,2555.0,182.0
2025-11-19 10:14:39,2563.0,181.0
2025-11-19 10:14:40,2564.0,182.0
2025-11-19 10:14:42,2566.0,181.0
2025-11-19 10:14:46,2570.0,178.0
2025-11-19 10:14:47,2571.0,178.0
2025-11-19 10:14:49,2573.0,177.0
2025-11-19 10:14:50,2574.0,177.0
2025-11-19 10:14:51,2575.0,182.0
2025-11-19 10:14:53,2577.0,180.0
2025-11-19 10:14:55,2579.0,181.0
2025-11-19 10:14:56,2580.0,178.0
2025-11-19 10:14:57,2581.0,181.0
2025-11-19 10:15:00,2584.0,179.0
2025-11-19 10:15:01,2585.0,180.0
2025-11-19 10:15:03,2587.0,182.0
2025-11-19 10:15:06,2590.0,183.0
2025-11-19 10:15:08,2592.0,183.0
2025-11-19 10:15:11,2595.0,183.0
2025-11-19 10:15:15,2599.0,182.0
2025-11-19 10:15:16,2600.0,182.0
2025-11-19 10:15:22,2606.0,181.0
2025-11-19 10:15:30,2614.0,181.0
2025-11-19 10:15:37,2621.0,181.0
2025-11-19 10:15:44,2628.0,183.0
2025-11-19 10:15:45,2629.0,183.0
2025-11-19 10:15:47,2631.0,183.0
2025-11-19 10:15:49,2633.0,183.0
2025-11-19 10:15:51,2635.0,182.0
2025-11-19 10:15:54,2638.0,183.0
2025-11-19 10:15:57,2641.0,186.0
2025-11-19 10:16:00,2644.0,182.0
2025-11-19 10:16:06,2650.0,182.0
2025-11-19 10:16:07,2651.0,181.0
2025-11-19 10:16:12,2656.0,181.0
2025-11-19 10:16:14,2658.0,181.0
2025-11-19 10:16:17,2661.0,184.0
2025-11-19 10:16:18,2662.0,180.0
2025-11-19 10:16:20,2664.0,177.0
2025-11-19 10:16:25,2669.0,178.0
2025-11-19 10:16:26,2670.0,178.0
